代码,总分
002919,71.45182291666667
001339,67.85271139705881
600769,67.35638786764706
002208,66.84474571078431
603926,66.71989889705883
603660,66.39590992647058
603283,66.2710631127451
002886,65.91413909313725
603880,65.74716605392157
603638,65.71423100490196
600353,65.69738051470588
002134,65.53883272058823
002757,65.46989889705883
600961,65.41819852941177
001332,65.34888174019608
603155,65.31901041666666
002297,65.28186274509804
000811,65.27535232843138
603730,65.23169424019608
600714,65.03867953431373
603085,64.89698223039217
600791,64.78056066176471
002795,64.72694546568627
603125,64.66567095588235
600105,64.57146139705883
001226,64.5492493872549
600206,64.50022977941175
002963,64.29036458333333
605358,64.07820159313724
603790,64.02382046568627
603115,63.89590992647059
002741,63.83157169117648
603186,63.61098345588235
603297,63.52443321078431
002484,63.467754289215684
603031,63.44630821078431
001266,63.41107536764705
603916,63.39882046568627
002838,63.3865655637255
605133,63.32299325980392
002445,63.31533394607844
002348,63.10546874999999
002768,63.02428002450981
001378,62.982919730392155
002577,62.87492340686274
603601,62.6727175245098
605077,62.665058210784316
600396,62.65242034313726
600552,62.63671875
603203,62.59995404411765
603356,62.55629595588235
603688,62.53102022058823
002273,62.42149203431373
000021,62.26294424019608
002281,62.2506893382353
001314,62.2445618872549
002885,62.22617953431372
001212,62.18022365196079
003030,62.13962928921569
603268,62.040824142156865
002429,61.93589154411765
600246,61.91367953431372
601991,61.87231924019608
600158,61.806449142156865
002181,61.79534313725491
002443,61.77734375
603078,61.74708946078431
002380,61.740579044117645
002706,61.719898897058826
002338,61.69921875000001
002600,61.63334865196078
000029,61.555989583333336
000338,61.50696997549019
000813,61.5054381127451
002428,61.49241727941176
605168,61.491651348039206
603520,61.45258884803921
600962,61.42348345588236
002833,61.30782781862745
603615,61.232766544117645
603068,61.16536458333334
600027,61.11979166666667
603895,61.08570772058823
001211,60.93788296568627
000988,60.92792585784314
002436,60.91720281862745
002979,60.88350183823529
603005,60.81916360294118
603226,60.720358455882355
002938,60.71729473039215
002787,60.66827512254902
605011,60.478324142156865
600367,60.454580269607845
603269,60.377987132352935
000333,60.375689338235304
603120,60.3125
002745,60.309819240196084
603680,60.30522365196079
603800,60.24088541666667
603217,60.212928921568626
